RESP_DATE,GEOID10,DRRALL,DRRINT,CRRALL,CRRINT,county,tract,state,GEO_ID,UID
4/6/20 0:00,48453032900,1,1,53.8,53.8,Travis,329,Texas,1400000US48453032900,2020040648453032900
4/6/20 0:00,48453033200,0.8,0.8,49.6,49.2,Travis,332,Texas,1400000US48453033200,2020040648453033200
4/6/20 0:00,48453033500,1,1,57.7,57.5,Travis,335,Texas,1400000US48453033500,2020040648453033500
4/6/20 0:00,48453033700,0.7,0.7,61.1,61.1,Travis,337,Texas,1400000US48453033700,2020040648453033700
4/6/20 0:00,48453034000,1.4,1.4,53.4,53.2,Travis,340,Texas,1400000US48453034000,2020040648453034000
4/6/20 0:00,48453034300,1.1,1.1,69.5,69.5,Travis,343,Texas,1400000US48453034300,2020040648453034300
4/6/20 0:00,48453034600,1.1,1.1,32.7,32.6,Travis,346,Texas,1400000US48453034600,2020040648453034600
4/6/20 0:00,48453034900,1.3,1.3,55.6,55.5,Travis,349,Texas,1400000US48453034900,2020040648453034900
4/6/20 0:00,48453035200,0.8,0.8,39.5,39.2,Travis,352,Texas,1400000US48453035200,2020040648453035200
4/6/20 0:00,48453037500,0.7,0.7,42.2,42.2,Travis,375,Texas,1400000US48453037500,2020040648453037500
4/6/20 0:00,48453040100,0.5,0.5,30.9,30.3,Travis,401,Texas,1400000US48453040100,2020040648453040100
4/6/20 0:00,48453040400,0.8,0.8,53.4,53,Travis,404,Texas,1400000US48453040400,2020040648453040400
4/6/20 0:00,48453040700,0.5,0.5,24.2,23.6,Travis,407,Texas,1400000US48453040700,2020040648453040700
4/6/20 0:00,48453041000,0.3,0.2,29.8,21.1,Travis,410,Texas,1400000US48453041000,2020040648453041000
4/6/20 0:00,48453041300,1,1,60.9,60.8,Travis,413,Texas,1400000US48453041300,2020040648453041300
4/6/20 0:00,48453041600,0.5,0.5,38.9,38.3,Travis,416,Texas,1400000US48453041600,2020040648453041600
4/6/20 0:00,48453041900,0.5,0.5,52.6,52,Travis,419,Texas,1400000US48453041900,2020040648453041900
4/6/20 0:00,48453042100,0.6,0.6,47.2,46.9,Travis,421,Texas,1400000US48453042100,2020040648453042100
4/6/20 0:00,48453042400,0.6,0.6,48.5,48.4,Travis,424,Texas,1400000US48453042400,2020040648453042400
4/6/20 0:00,48453042700,0.7,0.7,52.1,51.7,Travis,427,Texas,1400000US48453042700,2020040648453042700
4/6/20 0:00,48453043000,0.6,0.6,35.2,34.7,Travis,430,Texas,1400000US48453043000,2020040648453043000
4/6/20 0:00,48453043300,0.8,0.8,24.9,24.6,Travis,433,Texas,1400000US48453043300,2020040648453043300
4/6/20 0:00,48453043600,0.8,0.8,32.9,32.5,Travis,436,Texas,1400000US48453043600,2020040648453043600
4/6/20 0:00,48453043900,1.1,1.1,39.2,38.9,Travis,439,Texas,1400000US48453043900,2020040648453043900
4/6/20 0:00,48453044100,0.8,0.8,41,40.6,Travis,441,Texas,1400000US48453044100,2020040648453044100
4/6/20 0:00,48453044400,0.9,0.9,48,47.6,Travis,444,Texas,1400000US48453044400,2020040648453044400
4/6/20 0:00,48453044700,0.3,0.3,38.4,37.6,Travis,447,Texas,1400000US48453044700,2020040648453044700
4/6/20 0:00,48453045000,0.8,0.8,44.5,44.4,Travis,450,Texas,1400000US48453045000,2020040648453045000
4/6/20 0:00,48453045300,0.8,0.8,39.7,39.6,Travis,453,Texas,1400000US48453045300,2020040648453045300
4/6/20 0:00,48453045600,0.8,0.8,47.1,47.1,Travis,456,Texas,1400000US48453045600,2020040648453045600
4/6/20 0:00,48453045900,1.3,1.3,44.1,44,Travis,459,Texas,1400000US48453045900,2020040648453045900
4/6/20 0:00,48453046200,1.2,1.2,48.3,48.2,Travis,462,Texas,1400000US48453046200,2020040648453046200
4/6/20 0:00,48491020113,0.6,0.6,42.4,42.2,Williamson,201.13,Texas,1400000US48491020113,2020040648491020113
4/6/20 0:00,48491020115,0.6,0.6,55.5,55.3,Williamson,201.15,Texas,1400000US48491020115,2020040648491020115
4/6/20 0:00,48491020118,0.6,0.6,77.2,76.8,Williamson,201.18,Texas,1400000US48491020118,2020040648491020118
4/6/20 0:00,48491020121,0.6,0.6,33.7,33.7,Williamson,201.21,Texas,1400000US48491020121,2020040648491020121
4/6/20 0:00,48491020123,0.9,0.9,58.9,58,Williamson,201.23,Texas,1400000US48491020123,2020040648491020123
4/6/20 0:00,48491020203,1,1,74.5,74,Williamson,202.03,Texas,1400000US48491020203,2020040648491020203
4/6/20 0:00,48491020207,1.3,1.3,46.2,45.8,Williamson,202.07,Texas,1400000US48491020207,2020040648491020207
4/6/20 0:00,48491020311,0.9,0.9,41.5,41.4,Williamson,203.11,Texas,1400000US48491020311,2020040648491020311
4/6/20 0:00,48491020321,0.8,0.8,42.2,41.3,Williamson,203.21,Texas,1400000US48491020321,2020040648491020321
4/6/20 0:00,48491020326,1.2,1.2,60.7,60.6,Williamson,203.26,Texas,1400000US48491020326,2020040648491020326
4/6/20 0:00,48491020330,1.1,1.1,42.5,42.4,Williamson,203.3,Texas,1400000US48491020330,2020040648491020330
4/6/20 0:00,48491020332,1.1,1.1,38.6,38.4,Williamson,203.32,Texas,1400000US48491020332,2020040648491020332
4/6/20 0:00,48491020335,1.3,1.3,59.4,59,Williamson,203.35,Texas,1400000US48491020335,2020040648491020335
4/6/20 0:00,48491020338,1,1,44.9,44.8,Williamson,203.38,Texas,1400000US48491020338,2020040648491020338
4/6/20 0:00,48491020341,1.3,1.3,50.4,50.4,Williamson,203.41,Texas,1400000US48491020341,2020040648491020341
4/6/20 0:00,48491020343,0.4,0.4,40.2,40.1,Williamson,203.43,Texas,1400000US48491020343,2020040648491020343
4/6/20 0:00,48491020346,1.2,1.2,48.9,48.9,Williamson,203.46,Texas,1400000US48491020346,2020040648491020346
4/6/20 0:00,48491020349,1.3,1.3,46.4,46.2,Williamson,203.49,Texas,1400000US48491020349,2020040648491020349
4/6/20 0:00,48491020351,1.1,1.1,52.2,51.8,Williamson,203.51,Texas,1400000US48491020351,2020040648491020351
4/6/20 0:00,48491020354,0.8,0.8,55.9,55.6,Williamson,203.54,Texas,1400000US48491020354,2020040648491020354
4/6/20 0:00,48491020403,0.6,0.6,43.4,43.2,Williamson,204.03,Texas,1400000US48491020403,2020040648491020403
4/6/20 0:00,48491020406,0.8,0.8,37.3,37.2,Williamson,204.06,Texas,1400000US48491020406,2020040648491020406
4/6/20 0:00,48491020409,1.1,1.1,44.8,44.7,Williamson,204.09,Texas,1400000US48491020409,2020040648491020409
4/6/20 0:00,48491020609,0.7,0.7,52.5,52.4,Williamson,206.09,Texas,1400000US48491020609,2020040648491020609
4/6/20 0:00,48491020706,1.5,1.5,62.1,61.8,Williamson,207.06,Texas,1400000US48491020706,2020040648491020706
4/6/20 0:00,48491020710,1.9,1.9,42.1,42.1,Williamson,207.1,Texas,1400000US48491020710,2020040648491020710
4/6/20 0:00,48491020713,1,1,50.4,50.3,Williamson,207.13,Texas,1400000US48491020713,2020040648491020713
4/6/20 0:00,48491020810,1,1,46,45.6,Williamson,208.1,Texas,1400000US48491020810,2020040648491020810
4/6/20 0:00,48491020813,0.7,0.7,47.7,47.5,Williamson,208.13,Texas,1400000US48491020813,2020040648491020813
4/6/20 0:00,48491020816,0.9,0.9,43,42.8,Williamson,208.16,Texas,1400000US48491020816,2020040648491020816
4/6/20 0:00,48491020818,0.9,0.9,52.9,52.8,Williamson,208.18,Texas,1400000US48491020818,2020040648491020818
4/6/20 0:00,48491020821,0.2,0.2,23.8,23.7,Williamson,208.21,Texas,1400000US48491020821,2020040648491020821
4/6/20 0:00,48491021000,0.4,0.1,27.6,13.6,Williamson,210,Texas,1400000US48491021000,2020040648491021000
4/6/20 0:00,48491021202,0.9,0.9,50.6,49.9,Williamson,212.02,Texas,1400000US48491021202,2020040648491021202
